subject,run,mean_FD,max_relative_motion,num_movements,func_overlap_with_90,func_snr,func_snr_cor_grp_snr
0010003,1,0.654026961364,6.69734249742,42,380,87901.8062424,
0010006,1,0.0715422585227,0.622242463593,0,1993,102573.526883,
0010018,1,0.516091224432,2.53895978746,27,146,104602.570936,
0010031,1,0.186379580682,1.30289441013,1,422,82883.8249615,
0010020,1,0.126075560227,0.490706396153,0,1197,90719.4307167,
0010036,1,0.0767453511364,0.17300869751,0,1589,111424.850578,
0010026,2,0.168635169886,0.622562395668,0,899,142857.54493,
0010026,1,0.158403278409,0.702235791224,0,796,120525.494712,
0010005,1,1.05807201818,12.6130276402,23,3081,75073.2294049,
0010041,1,0.178599532386,1.26706024998,1,899,55906.90701,
0010019,2,0.287139470455,2.06159995505,1,567,166132.862474,
0010019,1,0.0700549176136,0.171400462916,0,585,235489.53081,
0010042,1,0.0575949346591,0.191909588088,0,2424,172832.396963,
0010032,1,0.219911032386,0.911192718013,0,296,68505.2735063,
0010049,1,0.310172275,1.21418231726,1,3617,126667.719481,
0010025,1,0.354303265341,1.899661963,7,1658,76416.2814524,
0010025,2,0.6162576,4.59376381296,15,1394,64751.7586293,
0010064,1,0.0642878164773,0.170224074382,0,801,123441.680124,
0010024,2,0.189679292045,0.620702152059,0,671,74846.9541032,
0010024,1,0.137314738636,0.315297114137,0,656,106507.486396,
0010004,2,0.208956240341,0.966711021475,0,623,77730.147852,
0010004,1,0.222722627273,0.746048130408,0,532,120700.302214,
0010047,1,0.366302523864,3.06165084147,11,3479,108954.704116,
0010009,1,0.157813692045,0.54821312332,0,668,135615.677785,
0010009,2,0.147523966477,0.611702226928,0,762,131223.202234,
0010017,2,0.137439217614,0.43320363644,0,1707,175918.395449,
0010017,1,0.134223867045,0.326786529959,0,1507,143937.759034,
0010002,1,0.0983817897727,0.482826321505,0,427,257422.967046,
0010002,2,0.101950206818,1.26939569727,2,519,222173.224186,
0010013,2,0.209693776136,0.499087650776,0,242,80990.4964968,
0010013,1,0.206629542045,0.863881464101,0,414,143148.867642,
0010022,1,0.0967392267045,0.333568696471,0,821,104212.100633,
0010022,2,0.303484388068,2.86842934404,9,1015,72056.4478393,
0010021,2,0.0560023198864,0.302057554144,0,807,174581.358961,
0010021,1,0.0427995431818,0.144665744712,0,613,113503.277215,
0010029,2,0.0539551028409,0.0882669271696,0,1091,82776.813574,
0010029,1,0.0943295517045,0.717319975355,0,930,98717.1207552,
0010038,1,0.224506627273,0.484050013839,0,1000,97023.4601183,
0010038,2,0.220923938636,0.644582909012,0,1080,145734.088746,
0010015,2,0.53386950625,4.25405134897,23,3037,54190.9497663,
0010015,1,0.674644988636,3.12528174919,15,2603,409251.84921,
0010034,2,0.125970353409,0.800211146052,0,284,90509.1915006,
0010034,1,0.0807006585227,0.491626665313,0,278,95523.6291842,
0010014,2,0.249334916477,1.26625116775,6,1144,62742.2287032,
0010014,1,0.559727027273,3.79994352181,30,1186,99712.3557026,
0010023,2,0.12982770625,0.312790365668,0,5868,102358.664992,
0010023,1,0.0587143579545,0.241729125262,0,6005,106491.84307,
0010074,1,0.234059406818,5.06942505673,92,379,76938.3843255,
0010060,1,0.173522398295,1.25698874974,2,2566,99218.8709044,
0010011,1,0.272614421591,2.44100800222,8,4646,69452.4024207,
0010011,2,0.330728873295,2.45663593258,14,1181,100456.081562,
0010033,1,0.233136163636,1.38985712529,2,487,122620.519147,
0010033,2,0.468092569886,4.737686113,70,362,88968.805207,
0010061,1,0.478043015909,1.99863621855,9,6906,166386.214345,
0010010,1,0.133301708523,0.443125403922,0,685,98101.7338905,
0010010,2,0.219591216477,0.895252402877,0,521,57556.2458733,
0010059,2,0.0687933534091,0.223689318919,0,4100,384911.929596,
0010059,1,0.0550006767045,0.256171705188,0,4449,143936.793442,
0010103,1,0.998137164205,2.5869256384,64,253,90142.3581027,
0010040,1,0.104110249432,0.638959105674,0,613,128489.605392,
0010040,2,0.110953288636,0.423770129766,0,663,129038.727477,
0010072,1,0.185539235227,0.437642984941,0,153,0.0,0.0
0010007,1,0.128034878409,0.478086629273,0,992,74897.2431656,
0010007,2,0.169218379545,1.1827329925,1,1154,191208.587066,
0010044,1,0.330614475568,1.63775904566,8,427,78456.9277071,
0010044,2,0.105081605682,0.826348256559,0,436,119160.10643,
0010035,2,0.0541880670455,0.0848817404157,0,1622,84684.2588852,
0010035,1,0.0600005130682,0.139820895846,0,1402,75088.2269406,
0010046,1,0.170538955682,0.692875808254,0,489,86767.2225269,
0010046,2,0.675467849432,9.31439428936,51,410,84656.9239907,
0010012,1,0.0760984028409,0.187404795737,0,2749,93105.0597574,
0010012,2,0.325340905682,1.21284099666,8,2966,73713.4243747,
0010039,2,0.103143636932,0.14535999143,0,329,124848.744455,
0010039,1,0.178605800568,0.988107063582,0,280,179472.025214,
0010069,2,0.0549280590909,0.216272907866,0,1292,136746.656728,
0010069,1,0.0590353494318,0.501870484876,0,1233,139092.236665,
0010037,1,0.0545951761364,0.348068376061,0,558,89388.8488697,
0010037,2,0.0572357846591,0.181221952171,0,438,109192.946781,
0010056,2,0.200505039205,0.621954056924,0,1561,89489.7600327,
0010056,1,0.162628655114,0.741075535283,0,1551,77569.171589,
0010111,1,3.19502428125,84.7143929465,164,2531,83784.7439654,
0010051,2,0.1141845625,1.03098583516,1,1113,153843.158327,
0010051,1,0.0955881982955,0.300578122827,0,1009,140317.125636,
0010043,2,0.147004340909,0.737390892821,0,415,88374.9431895,
0010043,1,0.181145339773,0.575892262031,0,619,128034.846411,
0010071,1,0.0604317988636,0.312280911699,0,758,106446.901365,
0010071,2,0.0871610761364,0.57408533164,0,795,123635.751297,
1995121,1,0.0596491522727,0.18458638037,0,207,117553.498774,
0010030,2,0.394711388636,1.95034365557,17,308,88826.8999921,
0010030,1,0.238512171023,2.06807968017,3,325,90408.8826,
0010053,1,0.0474147323864,0.119032013156,0,1856,143687.864178,
0010053,2,0.0897673227273,0.525531268926,0,1653,117808.825778,
0010082,1,0.0792321448864,0.328675220073,0,833,138582.07915,
0010082,2,0.155750376705,0.798153836776,0,750,96674.7990151,
0010128,1,0.0718149454545,0.169139837752,0,1053,100355.313108,
2297413,1,0.159384692614,0.663040720779,0,1567,99502.9221401,
0010045,1,0.11640958125,0.323134020569,0,2844,73889.9023024,
0010045,2,0.141949694318,0.405148650835,0,2632,116437.794285,
1057962,1,0.0814702096591,0.507615491599,0,1668,80405.6311493,
0010058,1,0.126292254545,0.709493687655,0,846,92496.3357344,
0010058,2,0.132866322727,0.620123721494,0,1166,95774.4275287,
0010085,1,0.156975981818,0.565489402138,0,368,83184.4736198,
0010085,2,0.464495040341,4.19734605328,11,566,61340.2374644,
0010075,2,0.0922110221591,0.195144383631,0,811,279300.205239,
0010075,1,0.0653289119318,0.185607231698,0,832,137971.143025,
0010062,1,0.111466598864,0.354344928311,0,1215,102423.383566,
0010062,2,0.0977722136364,0.719304915567,0,1224,179931.21443,
0010057,2,0.123368029545,0.32161438257,0,478,245165.489711,
0010057,1,0.0980721301136,0.203701446898,0,676,113418.636201,
0010028,2,0.0698722698864,0.192661275222,0,653,84821.0617571,
0010028,1,0.310709094318,2.33535308338,5,644,86044.3732505,
0010008,2,0.0691730477273,0.230891771532,0,2847,215579.947114,
0010008,1,0.0695585539773,0.201357262,0,2948,683147.349847,
1517240,1,0.0725248857955,0.283937177677,0,7350,150682.845905,
0010068,2,0.100726768182,0.600252518216,0,762,95894.6875428,
0010068,1,0.0972252880682,0.532673035762,0,535,127567.999878,
0010086,1,0.129126778977,0.892475036589,0,305,128777.496773,
0010086,2,0.0683079125,0.431041329695,0,409,89796.4935661,
0010066,2,1.01236932841,9.38393186092,87,1001,55933.5192187,
0010066,1,0.398074760227,1.67250568094,5,1148,632197.047988,
0010081,2,0.0982809289773,0.162729619344,0,447,194009.597746,
0010081,1,0.132447578977,0.301076126407,0,453,84233.6273187,
0010109,1,0.143475057955,1.21168065899,21,2110,446207.329248,
0010109,2,0.140156452841,0.50353068864,0,2416,92712.0990585,
0010126,1,0.146656548295,0.573854087574,0,1907,76732.0017058,
0010078,2,0.5804327,4.56949345108,23,158,397526.093933,
0010078,1,0.0967140727273,0.162156070376,0,155,125067.418417,
0010063,2,0.0676991346591,0.140682322075,0,4677,89955.9078638,
0010063,1,0.0468881840909,0.223844315468,0,4554,208883.320851,
1875084,1,0.190201984659,1.22391497027,5,262,121729.890605,
0010073,1,0.180905963068,0.601186701171,0,1534,74992.7268231,
0010073,2,0.100786925568,0.530094373788,0,1637,118724.304244,
0010106,2,0.422617565909,2.25152362903,11,1050,221289.608338,
0010106,1,0.329269742045,1.91011100398,19,874,80807.2459395,
3619797,1,0.304363084091,0.517514405878,0,814,68759.027467,
